Graded Commit:de4a849500c54f39208ff9253b9aeec9b6bfea15

TEST NAME, POINTS,OUT OF
basecode_suite/help_system_test,1,1,
basecode_suite/philo_basic_test,1,1,
basecode_suite/validargs_error_test,1,1,
basecode_suite/validargs_help_test,1,1,
basecode_suite/validargs_matrix_test,1,1,
basecode_suite/validargs_newick_test,1,1,
basecode_suite/validargs_no_flags_test,1,1,
blackbox_test_suite/edge_data_output_1,1,1,
blackbox_test_suite/edge_data_output_2,1,1,
blackbox_test_suite/edge_data_output_3,1,1,
blackbox_test_suite/edge_data_output_4,1,1,
blackbox_test_suite/edge_data_output_5,1,1,
blackbox_test_suite/matrix_data_output_1,1,1,
blackbox_test_suite/matrix_data_output_2,1,1,
blackbox_test_suite/matrix_data_output_3,1,1,
blackbox_test_suite/matrix_data_output_4,1,1,
blackbox_test_suite/matrix_data_output_5,1,1,
blackbox_test_suite/newick_data_output_2,1,1,
blackbox_test_suite/newick_data_output_3,1,1,
blackbox_test_suite/newick_data_output_4,1,1,
blackbox_test_suite/newick_data_output_5,1,1,
blackbox_test_suite/newick_data_output_with_outlier_2,1,1,
blackbox_test_suite/newick_data_output_with_outlier_3,1,1,
blackbox_test_suite/newick_data_output_with_outlier_4,1,1,
blackbox_test_suite/newick_data_output_with_outlier_5,1,1,
build_taxonomy_suite/isomorphic_tree_test_1,1,1,
build_taxonomy_suite/isomorphic_tree_test_2,1,1,
build_taxonomy_suite/isomorphic_tree_test_3,1,1,
build_taxonomy_suite/isomorphic_tree_test_4,1,1,
build_taxonomy_suite/isomorphic_tree_test_5,1,1,
build_taxonomy_suite/non_null_output_stream_test,1,1,
build_taxonomy_suite/null_output_stream_test,1,1,
build_taxonomy_suite/one_node_input_crash_test,1,1,
distance_matrix_suite/basic_test_1,1,1,
distance_matrix_suite/basic_test_2,1,1,
distance_matrix_suite/basic_test_3,1,1,
distance_matrix_suite/basic_test_4,1,1,
distance_matrix_suite/basic_test_5,1,1,
emit_newick_suite/basic_test_1,1,1,
emit_newick_suite/basic_test_1_with_outlier_B,1,1,
emit_newick_suite/basic_test_2,1,1,
emit_newick_suite/basic_test_2_with_outlier_K,1,1,
emit_newick_suite/basic_test_4,1,1,
emit_newick_suite/basic_test_4_with_outlier_NFIWN,1,1,
read_distance_data_suite/basic_test_data_4,1,1,
read_distance_data_suite/basic_test_wikipedia,1,1,
read_distance_data_suite/different_names_test,1,1,
read_distance_data_suite/extra_lines_test,1,1,
read_distance_data_suite/input_field_too_long_test,1,1,
read_distance_data_suite/invalid_decimals_test,1,1,
read_distance_data_suite/max_input_test,1,1,
read_distance_data_suite/max_size_matrix_test,1,1,
read_distance_data_suite/missing_node_names_test,1,1,
read_distance_data_suite/non_symmetric_matrix_test,0,1,1 assertion(s) failed.: tests/philo_utils.h:15: Invalid return for non_symmetric_matrix_test. Got: 0 | Expected: -1
read_distance_data_suite/non_zero_diagonal_test,0,1,1 assertion(s) failed.: tests/philo_utils.h:15: Invalid return for non_zero_diagonal_test. Got: 0 | Expected: -1
read_distance_data_suite/null_test,1,1,
read_distance_data_suite/single_decimal_test,0,1,1 assertion(s) failed.: tests/philo_utils.h:15: Invalid return for single_decimal_test. Got: 0 | Expected: -1
read_distance_data_suite/too_few_rows_test,1,1,
read_distance_data_suite/too_many_leading_zeroes_test,0,1,1 assertion(s) failed.: tests/philo_utils.h:15: Invalid return for too_many_leading_zeroes_test. Got: 0 | Expected: -1
read_distance_data_suite/too_many_rows_test,1,1,
validargs_suite/both_m_and_n_test,1,1,
validargs_suite/invalid_h_test,1,1,
validargs_suite/no_outlier_test,1,1,
validargs_suite/non_option_arg_test,1,1,
validargs_suite/o_before_n_test,1,1,
validargs_suite/options_unset_test,0,1,1 assertion(s) failed.: tests/philo_utils.h:47: Expected a NULL pointer at options_unset_test
validargs_suite/random_args_test,1,1,
total,62,67
