Graded Commit:86fe11f47fdc8cd3a15c3eebbec9ec707ff3c673

TEST NAME, POINTS,OUT OF
basecode/run_echo,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
basecode/run_sleep_no_wait,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
basecode/run_sleep_wait,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
basic/poke_error,1,1,
basic/run,1,1,
basic/run_no_arg,1,1,
basic/show_error,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
basic/start_empty_eof,1,1,
basic/start_eof,1,1,
basic/start_quit_shutdown,0,1,1 assertion(s) failed.: tests/__helper.c:69: The program did not exit normally (status = 0xd)
cli/bogus_input,0,1,1 assertion(s) failed.: tests/__helper.c:69: The program did not exit normally (status = 0xd)
cli/help_command,0,1,1 assertion(s) failed.: tests/__helper.c:69: The program did not exit normally (status = 0xd)
cli/invalid_cont_with_no_processes,0,1,1 assertion(s) failed.: tests/__helper.c:69: The program did not exit normally (status = 0xd)
cli/newline_only,0,1,1 assertion(s) failed.: tests/__helper.c:69: The program did not exit normally (status = 0xd)
cli/quit_with_stopped_process,0,1,The test crashed.: None
peek_poke/backtrace_basic,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/peek_multiple,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/peek_one,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/peek_unreadable,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/poke_multiple,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/poke_one,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
peek_poke/poke_unwritable,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
state/garbage_collection,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
state/show,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
state_change/release,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
state_change/stop,0,1,1 assertion(s) failed.: tests/__helper.c:77: The test driver returned an error (-1)
total,5,26
